ASN,Name,T1,AS Cone,% of all ASNs,ASNs Reachable Via Other Networks,% ASNs Reachable Via Other Networks,ASNs Not Reachable Via Other Networks,% ASNs Not Reachable Via Other Networks,ASN Overlap 174,% ASN Overlap 174,ASN Overlap 701,% ASN Overlap 701,ASN Overlap 1273,% ASN Overlap 1273,ASN Overlap 1299,% ASN Overlap 1299,ASN Overlap 2914,% ASN Overlap 2914,ASN Overlap 3257,% ASN Overlap 3257,ASN Overlap 3320,% ASN Overlap 3320,ASN Overlap 3356,% ASN Overlap 3356,ASN Overlap 3491,% ASN Overlap 3491,ASN Overlap 4637,% ASN Overlap 4637,ASN Overlap 5511,% ASN Overlap 5511,ASN Overlap 6453,% ASN Overlap 6453,ASN Overlap 6461,% ASN Overlap 6461,ASN Overlap 6762,% ASN Overlap 6762,ASN Overlap 6830,% ASN Overlap 6830,ASN Overlap 6939,% ASN Overlap 6939,ASN Overlap 7018,% ASN Overlap 7018,ASN Overlap 7473,% ASN Overlap 7473,ASN Overlap 9002,% ASN Overlap 9002,ASN Overlap 9498,% ASN Overlap 9498,ASN Overlap 12956,% ASN Overlap 12956,ASN Overlap 13786,% ASN Overlap 13786,ASN Overlap 14840,% ASN Overlap 14840,ASN Overlap 20473,% ASN Overlap 20473,ASN Overlap 24482,% ASN Overlap 24482,ASN Overlap 35280,% ASN Overlap 35280,ASN Overlap 36236,% ASN Overlap 36236,ASN Overlap 37468,% ASN Overlap 37468,ASN Overlap 37721,% ASN Overlap 37721,ASN Overlap 39120,% ASN Overlap 39120,ASN Overlap 49544,% ASN Overlap 49544,ASN Overlap 52320,% ASN Overlap 52320,ASN Overlap 64289,% ASN Overlap 64289,ASN Overlap 199524,% ASN Overlap 199524
174,Cogent,True,79812,90.87,79810,100.00,2,0.00,X,X,79000,98.98,79188,99.22,79382,99.46,79313,99.37,79321,99.38,78986,98.97,79507,99.62,79501,99.61,78225,98.01,79211,99.25,79214,99.25,79264,99.31,79362,99.44,79223,99.26,79252,99.30,79189,99.22,78209,97.99,79266,99.32,79047,99.04,79228,99.27,79209,99.24,79216,99.25,77498,97.10,79246,99.29,79288,99.34,79186,99.22,79215,99.25,75390,94.46,79224,99.26,79267,99.32,79174,99.20,79209,99.24,79310,99.37
701,Verizon,True,83506,95.08,83506,100.00,0,0.00,79000,94.60,X,X,83049,99.45,83362,99.83,83371,99.84,83314,99.77,83030,99.43,83373,99.84,83360,99.83,82248,98.49,83333,99.79,83250,99.69,83302,99.76,83298,99.75,83244,99.69,83239,99.68,83234,99.67,82325,98.59,83270,99.72,83198,99.63,83254,99.70,83214,99.65,83228,99.67,81765,97.92,83246,99.69,83278,99.73,83203,99.64,79152,94.79,79419,95.11,83232,99.67,83269,99.72,83188,99.62,83227,99.67,83280,99.73
1273,Vodafone,False,84405,96.10,84405,100.00,0,0.00,79188,93.82,83049,98.39,X,X,83822,99.31,83565,99.00,83630,99.08,83135,98.50,83690,99.15,84330,99.91,82452,97.69,83464,98.89,83479,98.90,83479,98.90,83770,99.25,83435,98.85,83550,98.99,83382,98.79,82337,97.55,83512,98.94,83289,98.68,83483,98.91,83421,98.83,83415,98.83,81521,96.58,83451,98.87,83510,98.94,83421,98.83,79348,94.01,79621,94.33,83425,98.84,83471,98.89,83382,98.79,83433,98.85,83513,98.94
1299,Telia,True,84744,96.49,84742,100.00,2,0.00,79382,93.67,83362,98.37,83822,98.91,X,X,83871,98.97,83876,98.98,83404,98.42,84345,99.53,84131,99.28,82710,97.60,83754,98.83,83728,98.80,83771,98.85,83849,98.94,83684,98.75,83769,98.85,83661,98.72,82693,97.58,83751,98.83,83683,98.75,83690,98.76,83678,98.74,83683,98.75,81879,96.62,83728,98.80,83772,98.85,83669,98.73,79621,93.95,79858,94.23,83699,98.77,83752,98.83,83666,98.73,83692,98.76,83793,98.88
2914,NTT,True,84152,95.81,84150,100.00,2,0.00,79313,94.25,83371,99.07,83565,99.30,83871,99.67,X,X,83782,99.56,83423,99.13,83922,99.73,83881,99.68,82701,98.28,83738,99.51,83732,99.50,83756,99.53,83803,99.59,83697,99.46,83737,99.51,83658,99.41,82664,98.23,83740,99.51,83583,99.32,83706,99.47,83688,99.45,83696,99.46,81854,97.27,83753,99.53,83775,99.55,83689,99.45,79624,94.62,79861,94.90,83701,99.46,83781,99.56,83646,99.40,83692,99.45,83792,99.57
3257,GTT,True,84148,95.81,84145,100.00,3,0.00,79321,94.26,83314,99.01,83630,99.38,83876,99.68,83782,99.57,X,X,83396,99.11,83869,99.67,83929,99.74,82685,98.26,83673,99.44,83678,99.44,83732,99.51,83798,99.58,83686,99.45,83699,99.47,83645,99.40,82594,98.15,83726,99.50,83546,99.28,83690,99.46,83668,99.43,83680,99.44,81788,97.20,83715,99.49,83736,99.51,83658,99.42,79616,94.61,79842,94.88,83695,99.46,83738,99.51,83645,99.40,83678,99.44,83779,99.56
3320,DTAG,True,83492,95.06,83490,100.00,2,0.00,78986,94.60,83030,99.45,83135,99.57,83404,99.89,83423,99.92,83396,99.89,X,X,83352,99.83,83424,99.92,82347,98.63,83288,99.76,83325,99.80,83389,99.88,83399,99.89,83371,99.86,83369,99.85,83335,99.81,82199,98.45,83375,99.86,83130,99.57,83371,99.86,83332,99.81,83342,99.82,81690,97.84,83368,99.85,83386,99.87,83320,99.79,79260,94.93,79516,95.24,83350,99.83,83396,99.89,83299,99.77,83347,99.83,83406,99.90
3356,Lumen,True,86518,98.51,85641,98.99,877,1.01,79507,91.90,83373,96.36,83690,96.73,84345,97.49,83922,97.00,83869,96.94,83352,96.34,X,X,84035,97.13,82696,95.58,83768,96.82,83812,96.87,83789,96.85,83835,96.90,83653,96.69,83907,96.98,83649,96.68,82699,95.59,83843,96.91,83677,96.72,83677,96.72,83681,96.72,83665,96.70,81914,94.68,83710,96.75,83825,96.89,83668,96.71,79602,92.01,79835,92.28,83672,96.71,83778,96.83,83623,96.65,83658,96.69,83813,96.87
3491,PCCW,True,84774,96.52,84772,100.00,2,0.00,79501,93.78,83360,98.33,84330,99.48,84131,99.24,83881,98.95,83929,99.00,83424,98.41,84035,99.13,X,X,82752,97.61,83777,98.82,83777,98.82,83785,98.83,84057,99.15,83725,98.76,83875,98.94,83673,98.70,82677,97.53,83821,98.88,83627,98.65,83766,98.81,83735,98.77,83713,98.75,81865,96.57,83766,98.81,83836,98.89,83730,98.77,79652,93.96,79896,94.25,83728,98.77,83805,98.86,83684,98.71,83736,98.78,83842,98.90
4637,Telstra,False,82883,94.37,82880,100.00,3,0.00,78225,94.38,82248,99.23,82452,99.48,82710,99.79,82701,99.78,82685,99.76,82347,99.35,82696,99.77,82752,99.84,X,X,82589,99.65,82649,99.72,82733,99.82,82697,99.78,82685,99.76,82744,99.83,82645,99.71,81667,98.53,82724,99.81,82547,99.59,82683,99.76,82740,99.83,82723,99.81,80771,97.45,82753,99.84,82799,99.90,82737,99.82,78627,94.87,79002,95.32,82759,99.85,82797,99.90,82676,99.75,82713,99.79,82816,99.92
