ASN,Name,T1,Directly Connected ASNs,South America,% South America,Europe,% Europe,Africa,% Africa,North America,% North America,Oceania,% Oceania,Asia,% Asia
174,Cogent,True,7356,211,2.87,2386,32.44,118,1.60,4115,55.94,78,1.06,448,6.09
701,Verizon,True,1369,6,0.44,25,1.83,0,0.00,1310,95.69,3,0.22,25,1.83
1273,Vodafone,False,259,0,0.00,143,55.21,8,3.09,74,28.57,1,0.39,33,12.74
1299,Telia,True,2985,34,1.14,1591,53.30,28,0.94,1020,34.17,24,0.80,288,9.65
2914,NTT,True,2045,68,3.33,634,31.00,19,0.93,831,40.64,42,2.05,451,22.05
3257,GTT,True,2063,20,0.97,869,42.12,16,0.78,1027,49.78,15,0.73,116,5.62
3320,DTAG,True,705,0,0.00,615,87.23,2,0.28,64,9.08,1,0.14,23,3.26
3356,Lumen,True,7504,970,12.93,1368,18.23,32,0.43,4839,64.49,32,0.43,263,3.50
3491,PCCW,True,820,8,0.98,149,18.17,54,6.59,217,26.46,17,2.07,375,45.73
4637,Telstra,False,609,1,0.16,133,21.84,6,0.99,175,28.74,44,7.22,250,41.05
5511,Orange,True,395,2,0.51,209,52.91,59,14.94,58,14.68,4,1.01,63,15.95
6453,Tata,True,681,16,2.35,192,28.19,22,3.23,222,32.60,11,1.62,218,32.01
6461,Zayo,True,2871,11,0.38,608,21.18,16,0.56,2164,75.37,15,0.52,57,1.99
6762,TI Sparkle,True,783,131,16.73,355,45.34,37,4.73,152,19.41,3,0.38,105,13.41
6830,Liberty Global,True,338,1,0.30,264,78.11,1,0.30,61,18.05,2,0.59,9,2.66
6939,Hurricane Electric,True,11173,2102,18.81,4501,40.28,408,3.65,2685,24.03,337,3.02,1140,10.20
7018,AT&T,True,2434,5,0.21,17,0.70,0,0.00,2397,98.48,2,0.08,13,0.53
7473,SingTel,False,266,0,0.00,37,13.91,1,0.38,68,25.56,8,3.01,152,57.14
9002,RETN,False,3330,27,0.81,2069,62.13,29,0.87,440,13.21,33,0.99,732,21.98
9498,Bharti Airtel,False,5216,1700,32.59,1745,33.45,51,0.98,412,7.90,68,1.30,1240,23.77
12956,Telxius,True,306,95,31.05,74,24.18,6,1.96,115,37.58,0,0.00,16,5.23
13786,Seaborn,False,662,294,44.41,50,7.55,4,0.60,276,41.69,7,1.06,31,4.68
14840,BR DIGITAL,False,5769,2580,44.72,2686,46.56,45,0.78,271,4.70,12,0.21,175,3.03
20473,Constant Company,False,1563,27,1.73,469,30.01,22,1.41,451,28.85,292,18.68,302,19.32
24482,SG.GS,False,10105,2050,20.29,4548,45.01,446,4.41,913,9.04,288,2.85,1860,18.41
35280,F5 Networks,False,6465,2133,32.99,1514,23.42,58,0.90,893,13.81,298,4.61,1569,24.27
36236,Net Actuate,False,7681,2134,27.78,2825,36.78,518,6.74,1174,15.28,235,3.06,795,10.35
37468,Angola Cables,False,2831,336,11.87,1303,46.03,549,19.39,444,15.68,28,0.99,171,6.04
37721,VT&S,False,3670,321,8.75,2288,62.34,555,15.12,320,8.72,14,0.38,172,4.69
39120,Convergenze,False,5879,1899,32.30,2907,49.45,429,7.30,283,4.81,29,0.49,332,5.65
49544,i3D.net,False,8267,1651,19.97,4005,48.45,464,5.61,1053,12.74,278,3.36,816,9.87
52320,GlobeNet,False,2165,459,21.20,1122,51.82,41,1.89,387,17.88,13,0.60,143,6.61
64289,Macarne,False,2278,18,0.79,1841,80.82,26,1.14,224,9.83,8,0.35,161,7.07
199524,G-Core,False,5925,2370,40.00,1877,31.68,447,7.54,573,9.67,169,2.85,489,8.25
