ASN,Name,T1,Mode Hop Count,Weighted Hop Count,0,% 0,1,% 1,2,% 2,3,% 3,4,% 4,5,% 5,6,% 6,7,% 7,8,% 8,9,% 9,10,% 10,11,% 11,12,% 12,13,% 13,14,% 14,15,% 15,16,% 16,17,% 17,18,% 18,19,% 19,20,% 20,21,% 21,22,% 22,23,% 23,24,% 24
174,Cogent,True,2,679281,1,0.00,7356,9.22,35954,45.05,28595,35.83,6382,8.00,1160,1.45,296,0.37,58,0.07,9,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
701,Verizon,True,3,668724,1,0.00,1369,1.64,20057,24.02,42958,51.44,16659,19.95,2019,2.42,371,0.44,61,0.07,9,0.01,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
1273,Vodafone,False,3,680647,1,0.00,259,0.31,24376,28.88,42723,50.62,15042,17.82,1618,1.92,346,0.41,37,0.04,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
1299,Telia,True,2,712541,1,0.00,2985,3.52,42472,50.12,27266,32.17,10559,12.46,1137,1.34,290,0.34,28,0.03,6,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
2914,NTT,True,3,690226,1,0.00,2045,2.43,30956,36.79,35538,42.23,13630,16.20,1607,1.91,321,0.38,49,0.06,5,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
3257,GTT,True,3,689654,1,0.00,2063,2.45,30266,35.97,36036,42.82,13976,16.61,1515,1.80,263,0.31,22,0.03,5,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
3320,DTAG,True,3,670922,1,0.00,705,0.84,23028,27.58,41226,49.38,16136,19.33,1954,2.34,379,0.45,54,0.06,7,0.01,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
3356,Lumen,True,2,735429,1,0.00,7504,8.67,41409,47.86,26172,30.25,10016,11.58,1174,1.36,212,0.25,26,0.03,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
3491,PCCW,True,3,692860,1,0.00,820,0.97,27791,32.78,43922,51.81,10214,12.05,1605,1.89,361,0.43,52,0.06,8,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
4637,Telstra,False,3,671072,1,0.00,609,0.73,26044,31.42,39600,47.78,14492,17.48,1720,2.08,362,0.44,48,0.06,6,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
5511,Orange,True,3,676815,1,0.00,395,0.47,24462,29.13,41473,49.38,15464,18.41,1770,2.11,378,0.45,39,0.05,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
6453,Tata,True,3,685969,1,0.00,681,0.81,30140,35.88,37802,45.00,13631,16.23,1374,1.64,330,0.39,40,0.05,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
6461,Zayo,True,3,692280,1,0.00,2871,3.42,32428,38.62,33532,39.94,13168,15.68,1532,1.82,372,0.44,52,0.06,8,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
6762,TI Sparkle,True,3,691990,1,0.00,783,0.93,32811,38.97,36634,43.51,12392,14.72,1241,1.47,282,0.33,42,0.05,7,0.01,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6830,Liberty Global,True,3,675427,1,0.00,338,0.40,24792,29.60,41169,49.15,15222,18.17,1835,2.19,359,0.43,47,0.06,6,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
6939,Hurricane Electric,True,2,735248,1,0.00,11173,13.25,45472,53.93,22075,26.18,4386,5.20,967,1.15,216,0.26,20,0.02,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X,X,X
7018,AT&T,True,3,670169,1,0.00,2434,2.91,18161,21.68,43508,51.95,16965,20.26,2224,2.66,391,0.47,59,0.07,8,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
7473,SingTel,False,3,651221,1,0.00,266,0.32,17038,20.54,41200,49.66,19918,24.01,3690,4.45,653,0.79,187,0.23,12,0.01,2,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9002,RETN,False,3,702135,1,0.00,3330,3.96,33934,40.36,37800,44.96,7399,8.80,1227,1.46,323,0.38,56,0.07,11,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
9498,Bharti Airtel,False,3,692498,1,0.00,5216,6.21,30322,36.10,31383,37.36,14573,17.35,2001,2.38,353,0.42,137,0.16,14,0.02,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
12956,Telxius,True,3,673281,1,0.00,306,0.37,23580,28.13,41500,49.50,15870,18.93,2103,2.51,404,0.48,61,0.07,9,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
13786,Seaborn,False,3,669905,1,0.00,662,0.79,23503,28.00,38426,45.78,17619,20.99,2731,3.25,712,0.85,228,0.27,51,0.06,3,0.00,0,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14840,BR DIGITAL,False,2,695746,1,0.00,5769,6.88,33773,40.27,27688,33.02,13782,16.43,2078,2.48,589,0.70,160,0.19,20,0.02,4,0.00,0,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
20473,Constant Company,False,3,617023,1,0.00,1563,1.90,9021,10.99,31827,38.76,29935,36.45,7619,9.28,1770,2.16,330,0.40,51,0.06,3,0.00,0,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
24482,SG.GS,False,2,721433,1,0.00,10105,12.03,40824,48.60,24135,28.73,6925,8.24,1559,1.86,303,0.36,125,0.15,13,0.02,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
35280,F5 Networks,False,2,714199,1,0.00,6465,7.69,41325,49.13,25234,30.00,9646,11.47,1105,1.31,276,0.33,51,0.06,4,0.00,2,0.00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
36236,Net Actuate,False,2,724664,1,0.00,7681,9.15,44646,53.17,26202,31.20,4244,5.05,849,1.01,263,0.31,53,0.06,29,0.03,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
37468,Angola Cables,False,2,665788,1,0.00,2831,3.55,36760,46.04,28242,35.37,9336,11.69,2132,2.67,454,0.57,66,0.08,5,0.01,4,0.01,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00,1,0.00
37721,VT&S,False,2,669001,1,0.00,3670,4.58,35408,44.23,28718,35.87,10710,13.38,1230,1.54,278,0.35,32,0.04,5,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
39120,Convergenze,False,2,700187,1,0.00,5879,7.01,36112,43.05,26420,31.50,13097,15.61,1665,1.99,564,0.67,121,0.14,16,0.02,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
49544,i3D.net,False,2,727211,1,0.00,8267,9.83,45401,53.99,24839,29.54,4194,4.99,966,1.15,365,0.43,57,0.07,3,0.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
52320,GlobeNet,False,2,690119,1,0.00,2165,2.58,34584,41.28,31596,37.71,12790,15.26,1905,2.27,523,0.62,199,0.24,22,0.03,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
64289,Macarne,False,3,673322,1,0.00,2278,2.72,23730,28.30,35958,42.88,18724,22.33,2613,3.12,391,0.47,142,0.17,13,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
199524,G-Core,False,2,718533,1,0.00,5925,7.03,43713,51.89,25182,29.89,8246,9.79,860,1.02,259,0.31,44,0.05,19,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,X,X
