ASN,Name,T1,Mode Path Length,Weighted Path Length,0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,23,24,25
174,Cogent,True,2,12826794,9595,245279,662807,438377,109798,16809,4994,1718,143,7,X,X,X,1,1,X,X,X,X
701,Verizon,True,2,10007112,1084,49502,521876,451269,152260,18960,4328,912,60,4,X,X,X,X,X,X,X,1,X
1273,Vodafone,False,2,14291012,198,58263,748688,675466,193793,28401,6988,1085,72,4,1,X,X,X,X,1,X,1,X
1299,Telia,True,2,13847479,870,243371,764066,440733,122407,20121,5674,1270,91,6,1,X,X,X,1,X,X,1,X
2914,NTT,True,2,15825539,2741,154055,784219,678529,222460,33308,7348,1162,104,9,X,X,X,X,X,X,X,1,X
3257,GTT,True,2,14355056,1616,143358,706536,623867,199860,23767,5394,752,36,4,X,X,X,X,1,X,X,1,X
3320,DTAG,True,3,16111857,1147,46606,772548,819316,266576,37262,7512,2648,183,16,X,X,X,X,X,X,X,1,X
3356,Lumen,True,2,20777196,4737,270503,1043287,856504,217061,42705,9149,2105,234,13,1,X,X,X,X,X,X,1,X
3491,PCCW,True,2,19338732,1019,109036,968382,915735,265047,45221,12618,4033,381,17,X,X,X,X,X,1,X,1,X
4637,Telstra,False,2,10645561,712,74447,542279,490275,136035,19463,4968,1082,52,15,3,X,X,X,X,X,X,1,X
5511,Orange,True,2,12509243,595,69851,675915,564390,149064,22705,5849,835,35,4,2,X,X,X,X,X,X,1,X
6453,Tata,True,2,14726225,220,130885,806354,596240,174916,22359,5532,939,91,6,2,1,X,X,X,X,X,1,X
6461,Zayo,True,2,15559765,735,133147,818166,661442,196007,26723,6030,2562,151,11,5,X,X,X,X,X,X,1,X
6762,TI Sparkle,True,2,14861440,554,90614,848266,610282,179010,24415,5712,2453,230,13,2,X,X,X,X,X,X,1,X
6830,Liberty Global,True,2,15609820,707,55379,818045,741030,220662,29427,6740,2457,215,8,X,X,X,X,X,X,X,1,X
6939,Hurricane Electric,True,2,12469797,1529,335062,628792,344150,85599,14622,3543,531,25,5,X,X,X,X,X,X,1,X,X
7018,AT&T,True,2,10057648,3499,49374,503682,469367,161017,20320,4404,1131,81,4,X,X,X,X,X,X,X,1,X
7473,SingTel,False,3,10206600,113,43933,391719,555130,205830,51174,8203,2769,253,24,7,X,X,X,X,X,X,X,X
9002,RETN,False,2,14194950,130,155548,689983,619099,184449,24891,5759,1774,146,6,1,X,X,X,X,X,X,1,X
9498,Bharti Airtel,False,3,10732696,4895,156474,447896,472127,154308,39610,5900,2784,461,18,5,X,X,X,X,1,X,1,X
12956,Telxius,True,2,13715576,43,45673,723755,631881,212613,27624,5709,1744,141,12,X,X,X,X,X,X,X,1,X
13786,Seaborn,False,3,10123670,99,44810,432286,506202,207184,35685,9990,4231,1354,21,4,X,X,X,X,X,X,1,X
14840,BR DIGITAL,False,3,10834162,236,149569,460350,461436,181189,31523,7410,2111,281,17,2,2,X,X,X,X,X,1,X
20473,Constant Company,False,3,8155447,2184,29098,221270,408007,261373,112593,16465,4923,581,22,8,1,1,X,X,X,X,1,X
24482,SG.GS,False,3,18013582,84,321559,630148,724348,381224,95094,14894,4032,686,41,6,6,X,X,X,X,X,1,X
35280,F5 Networks,False,3,21767883,72,241500,858234,1031106,410532,70038,13793,3800,579,34,7,X,X,X,X,X,X,1,X
36236,Net Actuate,False,2,11515969,291,292418,572842,333830,94077,12546,3948,2196,1048,42,4,22,X,X,X,X,X,1,X
37468,Angola Cables,False,2,11217871,42,147541,575772,419969,142418,28897,5399,799,79,11,3,X,X,X,X,X,X,X,1
37721,VT&S,False,2,12291809,176,136199,581247,527240,178319,30742,8149,1655,200,12,2,X,X,X,X,X,X,1,X
39120,Convergenze,False,2,10920652,55,162753,495818,429271,171758,25546,6625,1812,203,13,2,X,X,X,X,X,X,1,X
49544,i3D.net,False,3,32738505,226,344561,950899,1605728,885162,239682,42798,9030,1450,138,18,X,X,X,X,X,X,1,1
52320,GlobeNet,False,2,11902798,17,126645,552713,510192,175492,50059,7054,3522,734,17,3,X,X,X,X,X,X,1,X
64289,Macarne,False,3,10320443,94,78420,411523,515936,200282,43514,6205,2480,344,6,1,X,X,X,X,X,X,1,X
199524,G-Core,False,3,67834490,623,236246,1780406,3873594,2082601,556424,86119,23970,5302,212,68,5,X,X,X,X,X,1,1
