ASN,Name,T1,Peer ASNs,% of all ASNs,Non-Unique Peer ASNs,% Non-Unique Peer ASNs,Unique Peer ASNs,% Unique Peer ASNs,Peering Overlap 174,% Peering Overlap 174,Peering Overlap 701,% Peering Overlap 701,Peering Overlap 1273,% Peering Overlap 1273,Peering Overlap 1299,% Peering Overlap 1299,Peering Overlap 2914,% Peering Overlap 2914,Peering Overlap 3257,% Peering Overlap 3257,Peering Overlap 3320,% Peering Overlap 3320,Peering Overlap 3356,% Peering Overlap 3356,Peering Overlap 3491,% Peering Overlap 3491,Peering Overlap 4637,% Peering Overlap 4637,Peering Overlap 5511,% Peering Overlap 5511,Peering Overlap 6453,% Peering Overlap 6453,Peering Overlap 6461,% Peering Overlap 6461,Peering Overlap 6762,% Peering Overlap 6762,Peering Overlap 6830,% Peering Overlap 6830,Peering Overlap 6939,% Peering Overlap 6939,Peering Overlap 7018,% Peering Overlap 7018,Peering Overlap 7473,% Peering Overlap 7473,Peering Overlap 9002,% Peering Overlap 9002,Peering Overlap 9498,% Peering Overlap 9498,Peering Overlap 12956,% Peering Overlap 12956,Peering Overlap 13786,% Peering Overlap 13786,Peering Overlap 14840,% Peering Overlap 14840,Peering Overlap 20473,% Peering Overlap 20473,Peering Overlap 24482,% Peering Overlap 24482,Peering Overlap 35280,% Peering Overlap 35280,Peering Overlap 36236,% Peering Overlap 36236,Peering Overlap 37468,% Peering Overlap 37468,Peering Overlap 37721,% Peering Overlap 37721,Peering Overlap 39120,% Peering Overlap 39120,Peering Overlap 49544,% Peering Overlap 49544,Peering Overlap 52320,% Peering Overlap 52320,Peering Overlap 64289,% Peering Overlap 64289,Peering Overlap 199524,% Peering Overlap 199524
174,Cogent,True,7356,8.38,5254,71.42,2103,28.59,X,X,282,3.83,101,1.37,1252,17.02,790,10.74,866,11.77,151,2.05,1838,24.99,357,4.85,265,3.60,199,2.71,332,4.51,1018,13.84,400,5.44,119,1.62,3085,41.94,289,3.93,128,1.74,1064,14.46,1231,16.73,141,1.92,282,3.83,1220,16.59,169,2.30,2026,27.54,1535,20.87,1853,25.19,1028,13.97,1130,15.36,1435,19.51,2133,29.00,898,12.21,674,9.16,1340,18.22
701,Verizon,True,1369,1.56,904,66.03,466,34.04,282,20.60,X,X,54,3.94,113,8.25,95,6.94,105,7.67,44,3.21,560,40.91,71,5.19,72,5.26,42,3.07,70,5.11,225,16.44,52,3.80,44,3.21,131,9.57,331,24.18,49,3.58,64,4.67,95,6.94,43,3.14,43,3.14,49,3.58,24,1.75,70,5.11,81,5.92,75,5.48,67,4.89,60,4.38,47,3.43,89,6.50,65,4.75,41,2.99,75,5.48
1273,Vodafone,False,259,0.29,207,79.92,53,20.46,101,39.00,54,20.85,X,X,116,44.79,91,35.14,79,30.50,81,31.27,130,50.19,96,37.07,89,34.36,66,25.48,77,29.73,97,37.45,90,34.75,75,28.96,156,60.23,49,18.92,56,21.62,133,51.35,125,48.26,65,25.10,48,18.53,96,37.07,39,15.06,122,47.10,122,47.10,123,47.49,117,45.17,106,40.93,112,43.24,135,52.12,101,39.00,81,31.27,123,47.49
1299,Telia,True,2985,3.40,2642,88.51,344,11.52,1252,41.94,113,3.79,116,3.89,X,X,626,20.97,576,19.30,218,7.30,1024,34.30,336,11.26,269,9.01,191,6.40,331,11.09,547,18.32,332,11.12,159,5.33,1769,59.26,94,3.15,140,4.69,963,32.26,956,32.03,135,4.52,223,7.47,965,32.33,166,5.56,1440,48.24,1048,35.11,1286,43.08,851,28.51,930,31.16,1043,34.94,1427,47.81,771,25.83,719,24.09,1076,36.05
2914,NTT,True,2045,2.33,1889,92.37,157,7.68,790,38.63,95,4.65,91,4.45,626,30.61,X,X,357,17.46,142,6.94,659,32.22,304,14.87,276,13.50,139,6.80,259,12.67,384,18.78,203,9.93,115,5.62,1108,54.18,84,4.11,147,7.19,613,29.98,694,33.94,106,5.18,176,8.61,565,27.63,413,20.20,930,45.48,832,40.68,834,40.78,567,27.73,553,27.04,650,31.78,959,46.89,518,25.33,365,17.85,658,32.18
3257,GTT,True,2063,2.35,1735,84.10,329,15.95,866,41.98,105,5.09,79,3.83,576,27.92,357,17.30,X,X,99,4.80,686,33.25,192,9.31,159,7.71,111,5.38,209,10.13,422,20.46,203,9.84,101,4.90,971,47.07,109,5.28,75,3.64,453,21.96,542,26.27,83,4.02,149,7.22,522,25.30,130,6.30,765,37.08,597,28.94,710,34.42,469,22.73,489,23.70,579,28.07,805,39.02,434,21.04,328,15.90,523,25.35
3320,DTAG,True,705,0.80,384,54.47,322,45.67,151,21.42,44,6.24,81,11.49,218,30.92,142,20.14,99,14.04,X,X,191,27.09,85,12.06,101,14.33,65,9.22,83,11.77,132,18.72,90,12.77,84,11.91,310,43.97,36,5.11,59,8.37,257,36.45,249,35.32,60,8.51,47,6.67,236,33.48,48,6.81,278,39.43,249,35.32,249,35.32,253,35.89,215,30.50,244,34.61,274,38.87,230,32.62,137,19.43,248,35.18
3356,Lumen,True,7504,8.54,4912,65.46,2593,34.55,1838,24.49,560,7.46,130,1.73,1024,13.65,659,8.78,686,9.14,191,2.55,X,X,303,4.04,291,3.88,177,2.36,314,4.18,1175,15.66,343,4.57,138,1.84,2002,26.68,811,10.81,142,1.89,768,10.23,1263,16.83,172,2.29,351,4.68,1249,16.64,147,1.96,1580,21.06,1358,18.10,1511,20.14,865,11.53,891,11.87,1267,16.88,1645,21.92,849,11.31,530,7.06,1298,17.30
3491,PCCW,True,820,0.93,697,85.00,124,15.12,357,43.54,71,8.66,96,11.71,336,40.98,304,37.07,192,23.41,85,10.37,303,36.95,X,X,221,26.95,103,12.56,193,23.54,175,21.34,182,22.20,86,10.49,469,57.20,57,6.95,122,14.88,349,42.56,321,39.15,98,11.95,107,13.05,197,24.02,88,10.73,405,49.39,357,43.54,375,45.73,251,30.61,229,27.93,300,36.59,414,50.49,217,26.46,150,18.29,353,43.05
4637,Telstra,False,609,0.69,541,88.83,69,11.33,265,43.51,72,11.82,89,14.61,269,44.17,276,45.32,159,26.11,101,16.58,291,47.78,221,36.29,X,X,84,13.79,179,29.39,210,34.48,127,20.85,89,14.61,397,65.19,63,10.34,126,20.69,301,49.43,306,50.25,81,13.30,103,16.91,210,34.48,91,14.94,353,57.96,341,55.99,327,53.69,244,40.07,224,36.78,263,43.19,365,59.93,222,36.45,173,28.41,288,47.29
5511,Orange,True,395,0.45,345,87.34,51,12.91,199,50.38,42,10.63,66,16.71,191,48.35,139,35.19,111,28.10,65,16.46,177,44.81,103,26.08,84,21.27,X,X,121,30.63,115,29.11,132,33.42,79,20.00,271,68.61,35,8.86,66,16.71,197,49.87,197,49.87,72,18.23,59,14.94,168,42.53,42,10.63,246,62.28,212,53.67,226,57.22,171,43.29,208,52.66,203,51.39,248,62.78,143,36.20,141,35.70,219,55.44
