ASN,Name,T1,Reachable Pfxs,Shorter Paths via Any Tier 1,% Shorter Paths via Any Tier 1,Not Shorter Paths via Any Tier 1,% Not Shorter Paths via Any Tier 1
174,Cogent,True,1006334,384751,38.23,621584,61.77
701,Verizon,True,987216,861901,87.31,125322,12.69
1273,Vodafone,False,1014182,784176,77.32,230007,22.68
1299,Telia,True,1019106,362759,35.60,656348,64.40
2914,NTT,True,1002348,578522,57.72,424019,42.30
3257,GTT,True,1004612,543932,54.14,460715,45.86
3320,DTAG,True,993822,861064,86.64,132759,13.36
3356,Lumen,True,1071559,479706,44.77,594963,55.52
3491,PCCW,True,1030667,768163,74.53,262507,25.47
4637,Telstra,False,977419,685221,70.11,292198,29.89
5511,Orange,True,1000200,740604,74.05,259596,25.95
6453,Tata,True,1000705,544843,54.45,455863,45.55
6461,Zayo,True,997785,583391,58.47,414395,41.53
6762,TI Sparkle,True,1003396,616337,61.43,387060,38.57
6830,Liberty Global,True,993544,825586,83.10,167959,16.91
6939,Hurricane Electric,True,1020896,303552,29.73,717345,70.27
7018,AT&T,True,994575,906495,91.14,88082,8.86
7473,SingTel,False,999674,770758,77.10,228917,22.90
9002,RETN,False,1002771,639479,63.77,367287,36.63
9498,Bharti Airtel,False,1023931,505878,49.41,518189,50.61
12956,Telxius,True,996701,762360,76.49,234342,23.51
13786,Seaborn,False,1008787,734465,72.81,274322,27.19
14840,BR DIGITAL,False,1011197,641040,63.39,370587,36.65
20473,Constant Company,False,997148,826513,82.89,170638,17.11
24482,SG.GS,False,1023235,463916,45.34,559805,54.71
35280,F5 Networks,False,1027437,649244,63.19,378194,36.81
36236,Net Actuate,False,1033241,398112,38.53,635132,61.47
37468,Angola Cables,False,1009234,481182,47.68,528052,52.32
39120,Convergenze,False,1015784,568437,55.96,447349,44.04
49544,i3D.net,False,1033260,362627,35.10,670634,64.90
52320,GlobeNet,False,999025,553872,55.44,445167,44.56
64289,Macarne,False,998646,731607,73.26,267042,26.74
199524,G-Core,False,1051254,668784,63.62,382482,36.38
