ASN,Name,T1,Reachable Pfxs,Covered by Any Other Network,% Covered by Any Other Network,Not Covered by Any Other Network,% Not Covered by Any Other Network,Covered By 174,% Covered By 174,Covered By 701,% Covered By 701,Covered By 1273,% Covered By 1273,Covered By 1299,% Covered By 1299,Covered By 2914,% Covered By 2914,Covered By 3257,% Covered By 3257,Covered By 3320,% Covered By 3320,Covered By 3356,% Covered By 3356,Covered By 3491,% Covered By 3491,Covered By 4637,% Covered By 4637,Covered By 5511,% Covered By 5511,Covered By 6453,% Covered By 6453,Covered By 6461,% Covered By 6461,Covered By 6762,% Covered By 6762,Covered By 6830,% Covered By 6830,Covered By 6939,% Covered By 6939,Covered By 7018,% Covered By 7018,Covered By 9002,% Covered By 9002,Covered By 9498,% Covered By 9498,Covered By 12956,% Covered By 12956,Covered By 13786,% Covered By 13786,Covered By 14840,% Covered By 14840,Covered By 24482,% Covered By 24482,Covered By 35280,% Covered By 35280,Covered By 36236,% Covered By 36236,Covered By 37468,% Covered By 37468,Covered By 37721,% Covered By 37721,Covered By 39120,% Covered By 39120,Covered By 49544,% Covered By 49544,Covered By 52320,% Covered By 52320,Covered By 57463,% Covered By 57463,Covered By 64289,% Covered By 64289,Covered By 199524,% Covered By 199524
174,Cogent,True,208928,208913,99.99,15,0.01,X,X,205920,98.56,207433,99.28,206566,98.87,206303,98.74,206506,98.84,187839,89.91,207484,99.31,207356,99.25,201673,96.53,205407,98.31,206240,98.71,206160,98.68,206620,98.90,206118,98.66,203311,97.31,205951,98.58,206246,98.72,184031,88.08,206120,98.66,206261,98.72,206377,98.78,206160,98.68,207307,99.22,206114,98.65,206050,98.62,206304,98.74,206234,98.71,206192,98.69,205710,98.46,202834,97.08,206138,98.66,206650,98.91
701,Verizon,True,211643,211639,100.00,4,0.00,205383,97.04,X,X,211608,99.98,211549,99.96,211597,99.98,211604,99.98,193496,91.43,211611,99.98,211608,99.98,206966,97.79,210184,99.31,211570,99.97,211608,99.98,211611,99.98,211546,99.95,208920,98.71,211525,99.94,211601,99.98,189658,89.61,211549,99.96,211512,99.94,211609,99.98,211609,99.98,211619,99.99,211166,99.77,211323,99.85,211607,99.98,211497,99.93,211608,99.98,211056,99.72,208803,98.66,211461,99.91,211626,99.99
1273,Vodafone,False,227433,227428,100.00,5,0.00,212117,93.27,216847,95.35,X,X,224126,98.55,222859,97.99,223109,98.10,203710,89.57,224203,98.58,226930,99.78,217828,95.78,221403,97.35,222659,97.90,222317,97.75,223545,98.29,222268,97.73,220328,96.88,222022,97.62,222685,97.91,200119,87.99,222532,97.85,222318,97.75,222365,97.77,222431,97.80,223164,98.12,222176,97.69,222080,97.65,222408,97.79,222262,97.73,222432,97.80,221767,97.51,219358,96.45,222254,97.72,222688,97.91
1299,Telia,True,229768,229765,100.00,3,0.00,214162,93.21,219692,95.61,226757,98.69,X,X,225115,97.97,225365,98.08,206050,89.68,228366,99.39,226734,98.68,220282,95.87,223802,97.40,225033,97.94,224921,97.89,225306,98.06,224840,97.86,221382,96.35,224651,97.77,225101,97.97,202808,88.27,224911,97.89,224826,97.85,224877,97.87,225158,97.99,225847,98.29,224665,97.78,224625,97.76,224911,97.89,224808,97.84,224964,97.91,224382,97.66,220922,96.15,224757,97.82,225202,98.01
2914,NTT,True,218387,218386,100.00,1,0.00,206247,94.44,212073,97.11,217859,99.76,217437,99.56,X,X,217424,99.56,199149,91.19,217835,99.75,217862,99.76,212610,97.35,216021,98.92,217332,99.52,217215,99.46,217355,99.53,217174,99.44,214560,98.25,217026,99.38,217225,99.47,195230,89.40,217111,99.42,217099,99.41,217194,99.45,217195,99.45,217551,99.62,216921,99.33,216916,99.33,217181,99.45,217069,99.40,217236,99.47,216606,99.18,214262,98.11,217057,99.39,217372,99.54
3257,GTT,True,218637,218631,100.00,6,0.00,206559,94.48,212233,97.07,218221,99.81,217833,99.63,217584,99.52,X,X,199302,91.16,217911,99.67,218207,99.80,212688,97.28,216176,98.87,217392,99.43,217352,99.41,217545,99.50,217321,99.40,214774,98.23,217179,99.33,217403,99.44,195323,89.34,217291,99.38,217255,99.37,217353,99.41,217336,99.40,217672,99.56,217071,99.28,217085,99.29,217323,99.40,217235,99.36,217376,99.42,216791,99.16,214476,98.10,217198,99.34,217532,99.49
3320,DTAG,True,190952,190951,100.00,1,0.00,181074,94.83,187129,98.00,190885,99.96,190855,99.95,190828,99.94,190880,99.96,X,X,190882,99.96,190879,99.96,186099,97.46,189453,99.21,190780,99.91,190721,99.88,190805,99.92,190663,99.85,190197,99.60,190614,99.82,190772,99.91,170002,89.03,190690,99.86,190676,99.86,190731,99.88,190732,99.88,190884,99.96,190369,99.69,190467,99.75,190726,99.88,190612,99.82,190740,99.89,190172,99.59,190055,99.53,190591,99.81,190798,99.92
3356,Lumen,True,249198,246257,98.82,2941,1.18,226635,90.95,231365,92.84,238396,95.67,239961,96.29,237199,95.18,237112,95.15,216855,87.02,X,X,238468,95.69,231753,93.00,235935,94.68,237202,95.19,236873,95.05,237394,95.26,236598,94.94,234016,93.91,236425,94.87,237401,95.27,213977,85.87,236753,95.01,236549,94.92,236813,95.03,237137,95.16,238615,95.75,236492,94.90,236596,94.94,236898,95.06,236750,95.00,236973,95.09,236127,94.75,232064,93.12,236594,94.94,237297,95.22
3491,PCCW,True,227236,227236,100.00,0,0.00,211952,93.27,216775,95.40,226841,99.83,224018,98.58,222792,98.04,223013,98.14,203684,89.64,224167,98.65,X,X,217780,95.84,221307,97.39,222598,97.96,222257,97.81,223473,98.34,222194,97.78,220243,96.92,221954,97.68,222611,97.96,200075,88.05,222453,97.90,222259,97.81,222262,97.81,222356,97.85,223087,98.17,222125,97.75,222018,97.70,222337,97.84,222206,97.79,222383,97.86,221702,97.56,219291,96.50,222173,97.77,222633,97.97
4637,Telstra,False,220759,220759,100.00,0,0.00,208516,94.45,214453,97.14,219904,99.61,219657,99.50,219636,99.49,219538,99.45,200727,90.93,219975,99.64,219923,99.62,X,X,218251,98.86,219570,99.46,219638,99.49,219627,99.49,219508,99.43,217783,98.65,219380,99.38,219845,99.59,199707,90.46,219462,99.41,220157,99.73,219927,99.62,220253,99.77,220587,99.92,220149,99.72,219497,99.43,220521,99.89,220366,99.82,220282,99.78,219152,99.27,217633,98.58,219591,99.47,220592,99.92
5511,Orange,True,216935,216931,100.00,4,0.00,204932,94.47,210270,96.93,215980,99.56,215739,99.45,215621,99.39,215627,99.40,197287,90.94,216345,99.73,215964,99.55,210876,97.21,X,X,215530,99.35,215399,99.29,215652,99.41,215387,99.29,213188,98.27,215228,99.21,215622,99.39,193937,89.40,215343,99.27,215370,99.28,215465,99.32,215461,99.32,216551,99.82,215314,99.25,215223,99.21,215548,99.36,215341,99.27,215474,99.33,214870,99.05,212734,98.06,215391,99.29,215924,99.53
6453,Tata,True,219350,219350,100.00,0,0.00,207277,94.50,213161,97.18,218791,99.75,218455,99.59,218450,99.59,218357,99.55,200151,91.25,218972,99.83,218798,99.75,213663,97.41,217039,98.95,X,X,218278,99.51,218490,99.61,218223,99.49,215562,98.27,218109,99.43,218353,99.55,196298,89.49,218184,99.47,218222,99.49,218388,99.56,218330,99.53,218594,99.66,217944,99.36,218120,99.44,218302,99.52,218215,99.48,218381,99.56,217763,99.28,215319,98.16,218256,99.50,218429,99.58
